Employee ID,First Name,Last Name,Gender,State,City,Job Title,Education Level,Birth Date,Hire Date,salary,Actual Salary,Department,promotion_last_5years,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,Termination Date
E10000,Aaron,Soto,Female,Florida,Tampa,Sales Representative,Bachelor's,24-08-1984,25-07-2021,low,36856,sales,0,0.38,0.53,2,157,3,0,1,
E10001,Bruce,Estrada,Female,Illinois,Naperville,Sales Director,Master's,30-04-1985,28-08-2019,medium,68318,sales,0,0.8,0.86,5,262,6,0,1,
E10002,Linda,Wells,Male,Illinois,Springfield,Sales Director,Master's,03-02-1972,29-10-2019,medium,65901,sales,0,0.11,0.88,7,272,4,0,1,
E10003,Austin,Roberts,Male,New York,Buffalo,Sales Representative,Bachelor's,17-10-1967,03-06-2020,low,31181,sales,0,0.72,0.87,5,223,5,0,1,
E10004,Tiffany,Mason,Female,Florida,Miami,Sales Director,Master's,10-04-1980,16-04-2021,low,35501,sales,0,0.37,0.52,2,159,3,0,1,05-03-2024
E10005,Desiree,Holland,Female,New York,Rochester,Sales Representative,Bachelor's,29-08-1967,13-11-2017,low,43639,sales,0,0.41,0.5,2,153,3,0,1,
E10006,John,Myers,Female,New York,New York City,Sales Director,Master's,30-03-1976,16-06-2021,low,49207,sales,0,0.1,0.77,6,247,4,0,1,
E10007,Peter,Turner,Female,New York,Buffalo,Sales Representative,Bachelor's,01-11-1964,31-05-2022,low,37087,sales,0,0.92,0.85,5,259,5,0,1,
E10008,Roberto,Morales,Female,Texas,Dallas,Account Manager,Bachelor's,10-01-1977,09-11-2019,low,35617,sales,0,0.89,1,5,224,5,0,1,
E10009,Megan,Medina,Male,Illinois,Springfield,Sales Representative,Bachelor's,17-04-2002,20-08-2023,low,43560,sales,0,0.42,0.53,2,142,3,0,1,
E10010,James,Haas,Female,California,Los Angeles,Sales Representative,Bachelor's,27-07-1982,29-11-2022,low,38433,sales,0,0.45,0.54,2,135,3,0,1,
E10011,Michael,Daniels,Male,California,San Diego,Account Manager,Bachelor's,09-02-1995,18-10-2017,low,39618,sales,0,0.11,0.81,6,305,4,0,1,
E10012,Chad,Greene,Male,Illinois,Chicago,Sales Representative,Bachelor's,18-12-1975,15-11-2017,low,41020,sales,0,0.84,0.92,4,234,5,0,1,
E10013,Robert,Christensen,Male,Texas,Dallas,Sales Representative,Bachelor's,28-06-1974,26-11-2024,low,47839,sales,0,0.41,0.55,2,148,3,0,1,
E10014,Isaac,Gallagher,Male,Illinois,Naperville,Sales Representative,Bachelor's,25-10-1979,19-01-2017,low,39212,sales,0,0.36,0.56,2,137,3,0,1,
E10015,Emily,Gill,Male,California,Los Angeles,Sales Representative,Bachelor's,08-05-1997,10-09-2022,low,38487,sales,0,0.38,0.54,2,143,3,0,1,
E10016,Kyle,Fox,Male,California,Los Angeles,Sales Director,Master's,22-06-1989,06-12-2022,low,47348,sales,0,0.45,0.47,2,160,3,0,1,
E10017,Matthew,Marquez,Male,Florida,Tampa,Sales Representative,Bachelor's,13-01-2002,01-09-2021,low,49907,sales,0,0.78,0.99,4,255,6,0,1,
E10018,Jeremy,Miller,Male,Florida,Tampa,Sales Director,Master's,11-05-1994,25-07-2024,low,40302,sales,1,0.45,0.51,2,160,3,1,1,
E10019,Nancy,Lawson,Male,Florida,Orlando,Sales Director,Master's,16-02-1986,09-05-2024,low,43849,sales,0,0.76,0.89,5,262,5,0,1,
E10020,Sandra,James,Female,New York,Rochester,Sales Representative,Bachelor's,16-06-1970,21-03-2018,low,36618,sales,0,0.11,0.83,6,282,4,0,1,
E10021,Karen,Gray,Male,Florida,Miami,Account Manager,Bachelor's,01-01-1993,07-03-2018,low,44755,sales,0,0.38,0.55,2,147,3,0,1,
E10022,Kelly,Carpenter,Female,Illinois,Chicago,Sales Director,Master's,11-07-1997,22-05-2021,low,38027,sales,0,0.09,0.95,6,304,4,0,1,
E10023,Deborah,Hines,Female,California,Los Angeles,Account Manager,Bachelor's,09-08-1978,05-04-2024,low,35050,sales,0,0.46,0.57,2,139,3,0,1,
E10024,Christopher,Gilbert,Male,Texas,Houston,Account Manager,Bachelor's,06-06-1995,23-01-2017,low,48190,sales,0,0.4,0.53,2,158,3,0,1,
E10025,Heidi,Jackson,Male,Florida,Orlando,Sales Representative,Bachelor's,25-05-1988,28-12-2019,low,45844,sales,0,0.89,0.92,5,242,5,0,1,
E10026,Corey,Everett,Male,Illinois,Naperville,Sales Representative,Bachelor's,04-07-1996,18-05-2018,low,41113,sales,0,0.82,0.87,4,239,5,0,1,
E10027,Jessica,Monroe,Female,Texas,Austin,Sales Representative,Bachelor's,13-06-1981,23-02-2022,low,31963,sales,0,0.4,0.49,2,135,3,0,1,
E10028,Cheryl,Atkins,Female,Illinois,Chicago,Financial Analyst,Master's,14-11-1987,05-12-2017,low,37314,accounting,0,0.41,0.46,2,128,3,0,1,07-08-2019
E10029,Aaron,Lopez,Male,Florida,Orlando,Accountant,Bachelor's,07-07-1970,24-03-2021,low,48174,accounting,0,0.38,0.5,2,132,3,0,1,24-11-2021
E10030,Ronnie,Smith,Male,Florida,Tampa,Accountant,Bachelor's,28-09-1972,18-06-2017,low,49916,accounting,0,0.09,0.62,6,294,4,0,1,
E10031,Courtney,Rodriguez,Female,Texas,Houston,Recruiter,Bachelor's,30-12-1977,25-12-2023,low,34393,hr,0,0.45,0.57,2,134,3,0,1,
E10032,Kevin,Hughes,Male,Illinois,Naperville,Recruiter,Bachelor's,20-03-1989,14-07-2020,low,49209,hr,0,0.4,0.51,2,145,3,0,1,
E10033,Jessica,Petersen,Male,Illinois,Springfield,Recruiter,Bachelor's,30-11-1965,26-11-2023,low,34548,hr,0,0.45,0.55,2,140,3,0,1,
E10034,Jennifer,Harrington,Female,New York,New York City,HR Manager,Master's,10-06-1986,23-08-2019,low,43691,hr,0,0.84,0.87,4,246,6,0,1,10-03-2023
E10035,Marilyn,Ramos,Male,Illinois,Naperville,Software Engineer,Bachelor's,15-04-1965,29-11-2024,low,32462,technical,0,0.1,0.94,6,255,4,0,1,
E10036,Alicia,Moreno,Female,California,San Diego,Software Engineer,Bachelor's,02-06-1988,08-09-2024,low,36269,technical,0,0.38,0.46,2,137,3,0,1,19-11-2024
E10037,Autumn,Ward,Male,Texas,Austin,Tech Lead,Master's,24-07-1973,28-03-2016,low,44870,technical,0,0.45,0.5,2,126,3,0,1,
